,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1371,Star Ocean: Blue Sphere,GB,2001,Role-Playing,Enix Corporation,0,0,0.14,0
1372,Madden NFL 2005,GC,2004,Sports,Electronic Arts,0.54,0.14,0,0.02
1373,Jinguuji Saburou DS: Akai Chou,DS,2010,Adventure,Arc System Works,0,0,0.02,0
1374,Shin Megami Tensei: Persona 3 (jp sales),PS2,2006,Role-Playing,Tecmo Koei,0,0,0.21,0
1375,WCW Nitro,N64,1998,Fighting,THQ,0.17,0.04,0,0
1376,Inazuma Eleven Go 2: Chrono Stone,3DS,2012,Role-Playing,Level 5,0,0.01,0.46,0
1377,Warpath: Jurassic Park,PS,1998,Fighting,Electronic Arts,0.15,0.1,0,0.02
1378,Crossroad Crisis,PS,2000,Puzzle,Success,0.01,0,0,0
1379,Fairytale Fights,X360,2009,Action,Playlogic Game Factory,0.14,0.02,0,0.01
1380,Medieval Moves: Deadmund's Quest,PS3,2011,Action,Sony Computer Entertainment,0.13,0.12,0,0.05
1381,The X-Factor,PS3,2010,Misc,Deep Silver,0,0.1,0,0.03
1382,Zero Divide,PS,1995,Fighting,Ocean,0.03,0.02,0,0
1383,Marc Ecko's Getting Up: Contents Under Pressure,PS2,2006,Action,Atari,0.03,0.02,0,0.01
1384,Colony Wars,PS,1997,Simulation,Psygnosis,0.24,0.16,0,0.03
1385,Deadliest Warrior: Ancient Combat,X360,2012,Fighting,Cloud Imperium Games Corporation,0.04,0,0,0
1386,The Secret World,PC,2012,Role-Playing,Funcom,0.07,0.08,0,0.02
1387,Arcade Hits: Frisky Tom,PS,2002,Action,Hamster Corporation,0.16,0.11,0,0.02
1388,FlatOut: Ultimate Carnage,X360,2007,Racing,Empire Interactive,0.07,0.03,0,0.01
1389,Dance Dance Revolution (Japan),PS,1999,Simulation,Konami Digital Entertainment,0,0,1.26,0.09
1390,Atelier Meruru: Alchemist of Arland 3,PSV,2013,Role-Playing,Gust,0,0,0.06,0
1391,Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,DS,2009,Adventure,Level 5,0,0,0.03,0
1392,Star Ocean,SNES,1996,Role-Playing,Enix Corporation,0,0,0.23,0
1393,Test Drive,XB,2002,Racing,Atari,0.35,0.05,0,0.02
1394,NCAA Basketball 10,X360,2009,Sports,Electronic Arts,0.3,0,0,0.02
1395,Diablo III,XOne,2014,Role-Playing,Activision,0.35,0.24,0,0.05
1396,Total War: WARHAMMER,PC,2016,Strategy,Sega,0,0.1,0,0.01
1397,NickToons: Racing,GBA,2002,Racing,Infogrames,0.19,0.07,0,0
1398,Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.26,0.1,0.44,0.04
1399,Ninja Assault,PS2,2002,Shooter,Namco Bandai Games,0.05,0.04,0,0.01
1400,Corvette,XB,2003,Racing,TDK Mediactive,0.18,0.05,0,0.01
1401,F.E.A.R.,PS3,2007,Shooter,Vivendi Games,0.18,0.27,0,0.1
1402,Super Robot Taisen D,GBA,2003,Strategy,Banpresto,0,0,0.23,0.01
1403,Hyperdimension Neptunia Re;Birth 2,PSV,2014,Action,Idea Factory International,0.05,0.02,0,0.02
1404,Gun,GC,2005,Shooter,Activision,0.14,0.04,0,0
1405,Leisure Suit Larry: Magna Cum Laude,PS2,2004,Adventure,Vivendi Games,0.17,0.13,0,0.04
1406,Iron Man 2,DS,2010,Action,Sega,0.15,0.16,0,0.03
1407,Orphen: Scion of Sorcery,PS2,2000,Role-Playing,Activision,0.15,0.12,0,0.04
1408,Tetris DS,DS,2006,Puzzle,Nintendo,0.64,0.07,1.35,0.08
1409,Micro Machines V4,PS2,2006,Racing,Codemasters,0.01,0,0,0
1410,Unit 13,PSV,2012,Shooter,Sony Computer Entertainment,0.29,0.15,0.04,0.07
1411,Midway's Greatest Arcade Hits,GBA,2001,Misc,Midway Games,0.18,0.07,0,0
1412,Sesame Street: Elmo's Number Journey,PS,1998,Misc,NewKidCo,0.13,0.09,0,0.02
1413,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix,0,0,0.28,0
1414,ESPN International Track & Field,PS2,2000,Sports,Konami Digital Entertainment,0.09,0.07,0,0.02
1415,Tak 2: The Staff of Dreams,GC,2004,Platform,THQ,0.26,0.07,0,0.01
1416,Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,0.28,0.21,0,0.07
1417,Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.28,0.01,0.08
1418,Houshinengi,PS,1998,Strategy,Tecmo Koei,0,0,0.13,0.01
1419,Tongari Boushi to Oshare na Mahou Tsukai,DS,2011,Action,Konami Digital Entertainment,0,0,0.24,0
1420,Tiger Woods PGA Tour 10,X360,2009,Sports,Electronic Arts,0.39,0.2,0,0.06
1421,Bejeweled 2 Deluxe,PC,2006,Puzzle,Focus Home Interactive,0,0.02,0,0
1422,Prism: Light the Way,DS,2007,Puzzle,Eidos Interactive,0.05,0,0,0
1423,Cars: Mater-National Championship,DS,2007,Racing,THQ,0.63,0.01,0,0.05
1424,NASCAR,PSP,2006,Racing,Electronic Arts,0.09,0,0,0.01
1425,Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,Marvelous Interactive,0.19,0.05,0,0.01
1426,Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.34,0.17,0.02,0.05
1427,Team Elimination Games,Wii,2009,Misc,Ubisoft,0.08,0,0,0.01
1428,Harvest Moon: Hero of Leaf Valley,PSP,2009,Simulation,Rising Star Games,0.07,0.02,0.05,0.02
1429,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PC,2009,Shooter,Activision,0.02,0,0,0
1430,Pro Yakyuu Spirits 5 Kanzenban,PS3,2008,Sports,Konami Digital Entertainment,0,0,0.03,0
1431,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33
1432,Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,0.09,0.01,0.12,0.01
1433,WRC 2: FIA World Rally Championship,PC,2011,Racing,Ubisoft,0,0.01,0,0
1434,Flip's Twisted World,Wii,2010,Platform,Majesco Entertainment,0.05,0,0,0
1435,Simple 1500 Series Vol. 1: The Mahjong,PS,1998,Misc,D3Publisher,0,0,0.99,0.07
1436,Castlevania: The Dracula X Chronicles,PSP,2007,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07
1437,Astroblast,2600,1981,Action,Mattel Interactive,0.29,0.02,0,0
1438,Capcom vs. SNK: Millennium Fight 2000 Pro,DC,2001,Fighting,Capcom,0,0,0.05,0
1439,Total War: Attila,PC,2015,Strategy,Sega,0.09,0.13,0,0.02
1440,Star Wars The Clone Wars: Republic Heroes,PSP,2009,Action,LucasArts,0.21,0.13,0,0.08
1441,Baldur's Gate: Dark Alliance,GBA,2004,Role-Playing,"Destination Software, Inc",0.02,0.01,0,0
1442,Lovely Lisa,DS,2007,Simulation,DHM Interactive,0.11,0,0,0.01
1443,Psychic Detective,PS,1995,Adventure,Electronic Arts,0.01,0,0,0
1444,Super Street Fighter II,SNES,1993,Fighting,Nintendo,0.52,0.16,1.29,0.03
1445,Pro Yakyuu Famista DS 2009,DS,2009,Sports,Namco Bandai Games,0,0,0.1,0
1446,Super Puzzle Fighter II,GBA,1996,Puzzle,Capcom,0.06,0.02,0,0
1447,Ro-Kyu-Bu! Lost Secret,PSP,2013,Adventure,Kadokawa Shoten,0,0,0.02,0
1448,Fist of the North Star: Ken's Rage 2,WiiU,2013,Fighting,Tecmo Koei,0,0,0.02,0
1449,Ontamarama,DS,2007,Action,Atlus,0.05,0,0,0
1450,Space Station Silicon Valley,N64,1997,Adventure,Take-Two Interactive,0.12,0.03,0,0
1451,X-Men: Mutant Academy 2,PS,2001,Fighting,Activision,0.4,0.27,0,0.05
1452,Jikkyou Powerful Pro Yakyuu 7,PS2,2000,Sports,Konami Digital Entertainment,0,0,0.35,0
1453,Motor Toon Grand Prix (Japan),PS,1994,Racing,Sony Computer Entertainment,0,0,0.06,0
1454,Stacked with Daniel Negreanu,XB,2006,Misc,Myelin Media,0.02,0.01,0,0
1455,Luminous Arc 2 (JP sales),DS,2008,Role-Playing,Marvelous Interactive,0,0,0.1,0
1456,"Ni Hao, Kai-lan: New Year's Celebration",DS,2009,Misc,Take-Two Interactive,0.19,0,0,0.01
1457,KuruKuru Kururin,GBA,2001,Puzzle,Nintendo,0,0,0.3,0.01
1458,NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,0.57,0.44,0,0.15
1459,MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,0.27,0.08,0,0.01
1460,Jikkyou Oshaberi Parodius,SNES,1995,Shooter,Konami Digital Entertainment,0,0,0.05,0
1461,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2
1462,Final Fantasy Type-0,XOne,2015,Role-Playing,Square Enix,0.15,0.07,0,0.02
1463,SimCity Creator,DS,2008,Simulation,Electronic Arts,0.3,0.03,0,0.03
1464,Haikyu!! Cross Team Match!,3DS,2016,Adventure,Namco Bandai Games,0,0,0.04,0
1465,Pirates of the Caribbean: Dead Man's Chest,GBA,2006,Adventure,Disney Interactive Studios,0.33,0.12,0,0.01
1466,Sega Rally Championship 2,DC,1999,Racing,Sega,0,0,0.41,0
1467,TouchMaster 2,DS,2008,Puzzle,Midway Games,0.3,0.49,0,0.1
1468,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,Sega,0.4,0.11,0,0.02
1469,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.04,0.14,0,0.1
1470,Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,0.32,0.23,0,0.04
1471,How to Train Your Dragon 2,PS3,2014,Adventure,Little Orbit,0.03,0.08,0,0.02
1472,Psychonauts,PS2,2005,Platform,Majesco,0.05,0.04,0,0.01
1473,Pro Evolution Soccer 2013,PSP,2012,Sports,Konami Digital Entertainment,0,0.07,0.18,0.03
1474,NCAA Football 2005,GC,2004,Sports,Electronic Arts,0.17,0.04,0,0.01
1475,Gal*Gun,X360,2011,Shooter,Alchemist,0,0,0.04,0
1476,Command & Conquer: Red Alert,PS,1997,Strategy,Virgin Interactive,0.23,0.16,0,0.03
1477,Sleeping Dogs,X360,2012,Action,Square Enix,0.38,0.41,0.01,0.08
1478,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004,Misc,Majesco,0.12,0.04,0,0
1479,Battleborn,PC,2016,Shooter,Take-Two Interactive,0.03,0.03,0,0.01
1480,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,0.74,0.19,0,0.03
1481,The BIGS,PS2,2007,Sports,Take-Two Interactive,0.25,0.19,0,0.06
1482,Metal Gear Solid VR Missions,PS,1999,Adventure,Konami Digital Entertainment,0.66,0.45,0,0.08
1483,Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0,0
1484,Real Bout Garou Densetsu,SAT,1996,Fighting,SNK,0,0,0.1,0
1485,Backyard Basketball,GBA,2004,Sports,Atari,0.13,0.05,0,0
1486,AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0,0.01
1487,Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32
1488,Microsoft Flight Simulator 2004: A Century of Flight,PC,2003,Simulation,Microsoft Game Studios,0,0.06,0,0.01
1489,Reign of Fire,XB,2002,Shooter,BAM! Entertainment,0.07,0.02,0,0
1490,Tomb Raider (2013),PC,2013,Action,Square Enix,0.06,0.25,0,0.05
1491,Fox Sports College Hoops '99,N64,1998,Sports,Fox Interactive,0.2,0.05,0,0
1492,Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.36,0.52,0,0.2
1493,Jaws Unleashed,PS2,2006,Action,THQ,0.5,0.02,0,0.08
1494,Tron 2.0: Killer App,XB,2004,Action,Disney Interactive Studios,0.04,0.01,0,0
1495,The Croods: Prehistoric Party!,3DS,2013,Misc,D3Publisher,0.01,0.02,0,0
1496,Nervous Brickdown,DS,2007,Puzzle,Eidos Interactive,0,0.01,0,0
1497,TNA iMPACT!,PS2,2008,Fighting,Midway Games,0.1,0,0,0.12
1498,Strike Force Bowling,XB,2004,Sports,Crave Entertainment,0.03,0.01,0,0
1499,SingStar Singalong With Disney,PS2,2008,Action,Sony Computer Entertainment,0,0.04,0,0.57
1500,Atelier Totori: The Adventurer of Arland,PSV,2012,Role-Playing,Gust,0,0,0.09,0
1501,Odin Sphere,PS2,2007,Role-Playing,Square Enix,0.23,0.18,0.09,0.06
1502,Konami Classics Series: Arcade Hits,DS,2007,Misc,Konami Digital Entertainment,0.01,0,0.02,0
1503,Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013,Action,Namco Bandai Games,0,0,0.35,0
1504,Icewind Dale II,PC,2002,Role-Playing,Interplay,0,0.01,0,0
1505,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,2009,Action,Konami Digital Entertainment,0.27,0.01,0.09,0.03
1506,Sengoku Basara 3 Utage,Wii,2011,Action,Capcom,0,0,0.13,0
1507,Dancing With The Stars,PS2,2007,Misc,Activision,0.08,0.06,0,0.02
1508,Titan Quest,PC,2006,Role-Playing,THQ,0.01,0.04,0,0.01
1509,Illusion of Gaia,SNES,1993,Role-Playing,Nintendo,0,0,0.13,0
1510,Rock Band Unplugged,PSP,2009,Misc,MTV Games,0.24,0.15,0,0.1
1511,The Spiderwick Chronicles,X360,2008,Action,Vivendi Games,0.09,0.01,0,0.01
1512,NFL 2K3,XB,2002,Sports,Sega,0.38,0.11,0,0.02
1513,Lock's Quest,DS,2008,Strategy,THQ,0.08,0,0,0.01
1514,MLB SlugFest 20-04,PS2,2003,Sports,Midway Games,0.26,0.2,0,0.07
1515,Stella Glow,3DS,2015,Role-Playing,Atlus,0.16,0.01,0.05,0.02
1516,Sprint Cars: Road to Knoxville,PS2,2005,Racing,THQ,0.03,0.03,0,0.01
1517,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,1.98,1.14,0.01,0.41
1518,What's Cooking? Jamie Oliver,DS,2008,Simulation,Atari,0.2,0.01,0,0.02
1519,To Heart 2: Dungeon Travelers,PSP,2011,Adventure,Aqua Plus,0,0,0.11,0
1520,Monster Rancher DS,DS,2008,Role-Playing,Tecmo Koei,0.08,0,0.05,0.01
1521,Lemony Snicket's A Series of Unfortunate Events,GC,2004,Platform,Activision,0.2,0.05,0,0.01
1522,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07
1523,Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,1.05,0.57,0.03,0.14
1524,Natalie Brooks: Mystery at Hillcrest High,DS,2012,Action,Licensed 4U,0,0.02,0,0
1525,Ennichi no Tatsujin,Wii,2006,Misc,Namco Bandai Games,0,0,0.1,0
1526,Ultimate Marvel vs. Capcom 3,X360,2011,Fighting,Capcom,0,0.03,0.04,0
1527,Street Fighter IV,PC,2008,Fighting,Capcom,0.07,0.04,0,0.02
1528,Dawn of Discovery,DS,2009,Simulation,Ubisoft,0.07,0.03,0,0.01
1529,Lunar: Silver Star Story,SAT,1996,Role-Playing,Kadokawa Shoten,0,0,0.23,0
1530,Reel Fishing Paradise 3D,3DS,2011,Sports,Marvelous Interactive,0.12,0,0.06,0.01
1531,Dream Salon,Wii,2009,Misc,Zoo Games,0.05,0,0,0
1532,My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.9,0,0.18
1533,Marvel Avengers: Battle for Earth,X360,2012,Action,Ubisoft,0.02,0,0,0
1534,Skies of Arcadia Legends,GC,2002,Role-Playing,Atari,0.17,0.04,0,0.01
1535,Learn Science,DS,2010,Misc,DreamCatcher Interactive,0.05,0,0,0
1536,Jinsei Game DS,DS,2006,Misc,Atlus,0,0,0.02,0
1537,Petz Rescue: Ocean Patrol,DS,2008,Adventure,Ubisoft,0.35,0,0,0.03
1538,Burnout 2: Point of Impact,PS2,2002,Racing,Acclaim Entertainment,0.42,0.32,0,0.11
1539,Junior Brain Trainer 2,DS,2010,Misc,GSP,0.04,0.21,0,0.04
1540,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14
1541,Big Bass Fishing,PS,2002,Action,Take-Two Interactive,0,0,0.02,0
1542,Magical Starsign (JP sales),DS,2006,Role-Playing,Nintendo,0,0,0.04,0
1543,Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,0.01,0.05,0,0.01
1544,NHL Hitz 20-02,GC,2001,Sports,Midway Games,0.16,0.04,0,0.01
1545,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0,0.16
1546,NBA Jam 99,N64,1998,Sports,Acclaim Entertainment,0.25,0.02,0,0
1547,Gensou Suikoden I & II,PSP,2006,Role-Playing,Konami Digital Entertainment,0,0,0.03,0
1548,Tamagotchi no KiraKira Omisecchi,DS,2008,Misc,Namco Bandai Games,0,0,0.22,0
1549,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,1.15,2.09,0,0.64
1550,Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive,0.05,0.19,0.03,0.07
1551,Blood Drive,X360,2010,Racing,Activision,0.09,0.01,0,0.01
1552,Walt Disney Pictures Presents Enchanted,DS,2007,Platform,Disney Interactive Studios,0.04,0.01,0,0.01
1553,SingStar Latino,PS3,2009,Misc,Sony Computer Entertainment,0.11,0,0,0.01
1554,Tobal 2,PS,1997,Fighting,SquareSoft,0,0,0.35,0.02
1555,Legend of Kay,WiiU,2015,Action,Nordic Games,0.03,0.02,0,0
1556,Rose to Tasogare no Kojou,PSV,2016,Action,Nippon Ichi Software,0,0,0.02,0
1557,Yager,XB,2003,Shooter,THQ,0.03,0.01,0,0
1558,Universe at War: Earth Assault,X360,2008,Action,Sega,0.09,0.01,0,0.01
1559,Plants vs. Zombies,PS3,2011,Strategy,PopCap Games,0.18,0,0,0.01
1560,Test Drive: Ferrari Legends,PS3,2012,Racing,Evolved Games,0.04,0,0,0
1561,RockMan EXE 4.5 Real Operation,GBA,2004,Role-Playing,Capcom,0,0,0.08,0
1562,Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,1.58,0.64,0,0.09
1563,Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,0.62,0.21,0.79,0.08
1564,Destruction Derby Raw,PS,2000,Racing,Sony Computer Entertainment,0.08,0.05,0,0.01
1565,Mouse Trap,2600,1981,Action,Coleco,0.38,0.02,0,0
1566,Sid Meier's Civilization IV,PC,2005,Strategy,Take-Two Interactive,0.02,0.12,0,0.03
1567,KORG DS-10 Synthesizer Plus,DS,2009,Misc,AQ Interactive,0.08,0,0.02,0.01
1568,"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o",PS2,2007,Adventure,505 Games,0,0,0.05,0
1569,Timeshock! Pro Pinball,PS,1998,Misc,Empire Interactive,0.02,0.01,0,0
1570,Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,0,0.05,0,0
1571,Football Manager 2010,PC,2009,Sports,Sega,0,0.06,0,0.01
1572,Infected,PSP,2005,Shooter,THQ,0.14,0,0,0.01
1573,Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12
1574,The King of Fighters '98: Dream Match Never Ends,PS,1999,Fighting,SNK Playmore,0.05,0.03,0,0.01
1575,Calvin Tucker's Redneck Jamboree,Wii,2008,Misc,Zoo Games,0.29,0,0,0.02
1576,Off Road Challenge,N64,1998,Racing,GT Interactive,0.27,0.06,0,0
1577,Kotoba no Puzzle: Mojipittan Daijiten,PSP,2004,Puzzle,Namco Bandai Games,0,0,0.11,0
1578,Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,2007,Sports,Konami Digital Entertainment,0,0,0.09,0
1579,Sonic PC Collection,PC,2009,Misc,Sega,0,0.04,0,0.01
1580,Nacho Libre,DS,2006,Action,Majesco Entertainment,0.03,0,0,0
1581,Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.09,0,0.02
1582,Smash Court Tennis 3,X360,2007,Sports,Atari,0.08,0.02,0,0.01
1583,Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13
1584,Cruis'n World,N64,1998,Racing,Nintendo,0.59,0.04,0,0.01
1585,Scooby-Doo! Mystery Mayhem,GBA,2003,Action,THQ,0.31,0.12,0,0.01
1586,The Eye of Judgment: Legends,PSP,2010,Strategy,Sony Computer Entertainment,0,0,0.01,0
1587,Wild 9,PS,1998,Action,Interplay,0.13,0.09,0,0.02
1588,Pilot ni Narou! 2,PS2,2001,Simulation,Victor Interactive,0,0,0.08,0
1589,The King of Fighters EX2: Howling Blood,GBA,2002,Fighting,Marvelous Interactive,0.06,0.02,0,0
1590,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,THQ,0.29,0.22,0,0.07
1591,Top Spin 2,DS,2006,Sports,Take-Two Interactive,0.05,0,0,0
1592,Fossil Fighters: Champions,DS,2010,Role-Playing,Nintendo,0.32,0,0.34,0.02
1593,NHL Blades of Steel '99,N64,1999,Sports,Konami Digital Entertainment,0.05,0,0,0
1594,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016,Misc,Namco Bandai Games,0,0,0.02,0
1595,Barbarian,PS2,2002,Fighting,Titus,0.07,0.06,0,0.02
1596,The Clique: Diss and Make Up,DS,2009,Adventure,Warner Bros. Interactive Entertainment,0.11,0,0,0.01
1597,New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.24,0.17,0.14,0.05
1598,BlazBlue: Continuum Shift,X360,2010,Fighting,PQube,0.23,0.04,0.02,0.02
1599,MySims Party,Wii,2009,Simulation,Electronic Arts,0.18,0.03,0,0.02
1600,Dance Dance Revolution Disney Mix,PS,2000,Simulation,Konami Digital Entertainment,0.02,0.02,0,0
1601,Top Gear Overdrive,N64,1998,Racing,Kemco,0.23,0.06,0,0
1602,Disgaea DS,DS,2008,Role-Playing,Square Enix,0.11,0.02,0.05,0.01
1603,Alice in Wonderland,DS,2010,Adventure,Disney Interactive Studios,0.27,0.18,0,0.05
1604,TimeSplitters,PS2,2000,Shooter,Eidos Interactive,0.21,0.17,0,0.06
1605,Dennou Senki Virtual-On Force,X360,2010,Fighting,Sega,0,0,0.03,0
1606,WorldShift,PC,2009,Strategy,Playlogic Game Factory,0.02,0,0,0
1607,Pro Farm 1,PC,2011,Simulation,Excalibur Publishing,0,0.06,0,0.01
1608,Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,0,0.66,0,0.01
1609,Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0,0,0.17,0
1610,Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01
1611,Panzer Dragoon Saga,SAT,1997,Role-Playing,Sega,0,0,0.11,0
1612,Battle Rage,Wii,2008,Shooter,Popcorn Arcade,0.04,0,0,0
1613,Guilty Gear XX Accent Core Plus,Wii,2009,Fighting,PQube,0.01,0.02,0,0
1614,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0,0,0.41,0
1615,Initial D: Street Stage,PSP,2006,Racing,Sega,0,0,0.1,0
1616,Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995,Fighting,Namco Bandai Games,0,0,0.15,0
1617,Jewel Master: Cradle Of Rome 2,DS,2011,Puzzle,Rising Star Games,0,0.02,0,0
1618,Pandora's Tower,Wii,2011,Role-Playing,Nintendo,0.13,0.1,0.08,0.03
1619,Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.15,0.45,0.07
1620,Emergency Room: Real Life Rescues,DS,2009,Simulation,505 Games,0.04,0,0,0
1621,Pony Luv,DS,2008,Simulation,GSP,0.02,0,0,0
1622,Rugrats Studio Tour,PS,1999,Adventure,THQ,0.57,0.67,0,0.07
1623,Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,PS2,2001,Simulation,ASCII Entertainment,0,0,0.32,0
1624,Dynasty Warriors 5 Empires,X360,2006,Action,Tecmo Koei,0.11,0.01,0,0.01
1625,Commander: Conquest of the Americas,PC,2010,Strategy,Paradox Interactive,0,0.02,0,0.01
1626,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,2014,Adventure,Namco Bandai Games,0,0,0.06,0
1627,Battlestations: Pacific,X360,2009,Strategy,Eidos Interactive,0.17,0.12,0.01,0.03
1628,Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05
1629,Suzuki Super-Bikes II: Riding Challenge,DS,2008,Racing,Valcon Games,0.05,0,0,0
1630,Top Gear Rally,GBA,2003,Racing,Kemco,0.06,0.02,0,0
1631,Minecraft: Story Mode,PC,2015,Adventure,Mojang,0.02,0.05,0,0.01
1632,MotorStorm: Arctic Edge,PSP,2009,Racing,Sony Computer Entertainment,0.16,0.58,0,0.3
1633,Just Dance: Disney Party 2,XOne,2015,Action,Ubisoft,0.05,0.01,0,0.01
1634,World Series of Poker,XB,2005,Misc,Activision,0.19,0.05,0,0.01
1635,World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Oxygen Interactive,0.16,0.13,0,0.04
1636,N3: Ninety-Nine Nights,X360,2006,Action,Microsoft Game Studios,0.2,0.03,0.05,0.02
1637,Kelly Slater's Pro Surfer,XB,2002,Sports,Activision,0.08,0.02,0,0
1638,Bakugan: Battle Brawlers,X360,2009,Action,Activision,0.2,0.02,0,0.02
1639,Yume Neko DS,DS,2008,Simulation,Sega,0,0,0.02,0
1640,Chocobo Racing,PS,1999,Racing,SquareSoft,0.07,0.05,0.3,0.03
1641,Soul Eater: Monotone Princess,Wii,2008,Action,Square Enix,0,0,0.02,0
1642,Bratz 4 Real,DS,2007,Adventure,THQ,0.29,0.22,0,0.06
1643,Order Up!,Wii,2008,Misc,Zoo Digital Publishing,0.19,0.01,0,0.02
1644,Bakumatsu Rock: Ultra Soul,PSP,2014,Misc,Marvelous Interactive,0,0,0.01,0
1645,Dark Angel: Vampire Apocalypse,PS2,2001,Role-Playing,Metro 3D,0.04,0.03,0,0.01
1646,Polaris SnoCross,N64,2000,Racing,Vatical Entertainment,0.05,0.01,0,0
1647,One Piece Unlimited Cruise SP,3DS,2011,Action,Namco Bandai Games,0,0,0.3,0
1648,Power Pro Kun Pocket 6,GBA,2003,Sports,Konami Digital Entertainment,0,0,0.29,0.01
1649,Far Cry Instincts Evolution,XB,2006,Shooter,Ubisoft,0.06,0.02,0,0
1650,Rune Factory 2: A Fantasy Harvest Moon,DS,2008,Role-Playing,Rising Star Games,0.33,0.03,0.15,0.03
1651,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010,Sports,Sega,0.09,0.2,0,0.07
1652,BeatMania,PS,1998,Simulation,Konami Digital Entertainment,0,0,1.07,0.02
1653,Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,PSP,2009,Adventure,Tecmo Koei,0,0,0.04,0
1654,NCAA GameBreaker 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03
1655,Ratchet & Clank: Size Matters,PS2,2008,Platform,Sony Computer Entertainment,0.13,0.1,0.03,0.03
1656,Prince of Persia: The Sands of Time,GC,2003,Action,Ubisoft,0.25,0.06,0,0.01
